"mentionId","entityId","textContent","textOffset","type","sentimentMagnitude","sentimentScore"
"dcb0db7ac707bb1e0b2d8790b5eea331","5d1a8876252477b10844739565eb3b9a","Pavol Demitra","0","PROPER","0","0"
"2618d38b89f8923ab4dd62607493b711","5d1a8876252477b10844739565eb3b9a","ice hockey player","42","COMMON","0","0"
"5354a6339377c8cec21b4278e8176542","5d1a8876252477b10844739565eb3b9a","Pavol Demitra","241","PROPER","0.1","-0.1"
"c2744812d96b7c1f17a51c2c906ac50f","5d1a8876252477b10844739565eb3b9a","Pavol Demitra","343","PROPER","0.7","-0.7"
"90ff0e27dc7929d32a6be6b4f4a16111","1598ceb9d61615757396b4d0bf57bb7c","Slovak","20","PROPER","0","0"
"8aea1aaec2d8941282610787f9a963ff","13d4f681f8ed7fa3273979bab0e82497","hockey","104","COMMON","0.9","0.9"
"555d3b77d0e4ac5e354104a6bc41856a","a6ddd9ecdd42ed60a4effa718ba2c4f4","teams","116","COMMON","0","0"
"4996f8c91a36df167199eda349c6a0d9","33e94158a42c2f85f2403af4e8781997","National Hockey League","167","PROPER","0.3","0.3"
"d86936306b7297436608a99b2986e732","33e94158a42c2f85f2403af4e8781997","NHL","275","PROPER","0","0"
"0d49f1adc20b5d2b85f7aa36f746b935","1479ccf04e0c4d5ab44462047e5c9b30","hocker player","379","COMMON","0.2","0.2"
"c6777d8cbe6972ad71e3542c5b031d10","e955fb5921b7676ca559955b9ad9f306","carrer","286","COMMON","0","0"
"e07d01b91034c36ce482355757000d34","a82ee0a436b676f3c0eed94a18275b6e","goals","266","COMMON","0","0"
"f217479eab57560fa7175bbe4bfafd12","79a8804323001c19ed95f9719a243463","Kontinental Hockey League","213","PROPER","0.3","0.3"
"86562224037bfb73d3aec63a80ffe506","007e8762116e3a37322ddd1ca66449d1","Czechoslovak First Ice Hockey League","129","PROPER","0","0"
"ab8c6554ced49a4eedca1b1cae697d4b","9c2fef6ea7287a29ac19a95c21772b69","seasons","80","COMMON","0.8","0.8"
"da5453280b1f2f0dbebefcfde31ab624","fa44160d33b51611a728139e33614203","Slovak Extraliga","191","PROPER","0","0"
"022505a7fd40f84b2347c2112ddd3020","d475c6aa5001427abb35db1e41fe1f4b","one","408","COMMON","0.5","0.5"
"db79add31ec380c380abbe3597c17461","7c87d5215bc5c7a2e87488f263efd6d4","best","419","COMMON","0.9","0.9"
"80f7b547ada87ea449d11c3b7132aa62","f70f42d36158bb7ef8dcef45c6c7f3fa","country","431","COMMON","0.3","0.3"
"110f51cdb7307632d9db25442944dd32","1bf99f03131c79ee0798d1984801ec9a","plane crash","315","COMMON","0.7","-0.7"
"265d62353b20cecc16684063fcb24bb8","46aaabc4e99cd0b17b2eb8a1b41a0c8a","Jaroslavl","332","PROPER","0","0"
"ad28daacc59ff280bb6677045f3934f5","962c829748f8435d5ec466cad738d4d6","Pavol Demitra","0","PROPER","0","0"
"15c758675251b067006c45153660a005","962c829748f8435d5ec466cad738d4d6","hockey player","20","COMMON","0","0"
